Star Wars,My Fair Lady,GoodFellas
"Empire Strikes Back, The (1980)","Sound of Music, The (1965)",Once Upon a Time in the West (1969)
Return of the Jedi (1983),Mary Poppins (1964),"Good, The Bad and The Ugly, The (1966)"
Raiders of the Lost Ark (1981),Shadowlands (1993),Full Metal Jacket (1987)
"Usual Suspects, The (1995)",Alice in Wonderland (1951),"Godfather: Part II, The (1974)"
"Princess Bride, The (1987)",Washington Square (1997),Bonnie and Clyde (1967)
"Sting, The (1973)",SubUrbia (1997),Short Cuts (1993)
"Terminator, The (1984)",Snow White and the Seven Dwarfs (1937),Apocalypse Now (1979)
"Blues Brothers, The (1980)",Gone with the Wind (1939),"Godfather, The (1972)"
Indiana Jones and the Last Crusade (1989),Ninotchka (1939),2001: A Space Odyssey (1968)
L.A. Confidential (1997),Cinderella (1950),Cool Hand Luke (1967)