Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
"('0.034', 'company')","('0.021', 'political')","('0.022', 'food')","('0.018', 'night')","('0.007', 'view')"
"('0.026', 'executive')","('0.014', 'leader')","('0.011', 'serve')","('0.016', 'visit')","('0.007', 'question')"
"('0.019', 'president')","('0.013', 'campaign')","('0.010', 'restaurant')","('0.015', 'hour')","('0.006', 'idea')"
"('0.019', 'business')","('0.012', 'vote')","('0.009', 'taste')","('0.012', 'morning')","('0.006', 'great')"
"('0.013', 'industry')","('0.011', 'election')","('0.009', 'fresh')","('0.011', 'weekend')","('0.006', 'world')"
"('0.013', 'chief')","('0.011', 'party')","('0.008', 'cook')","('0.011', 'trip')","('0.006', 'sense')"
"('0.009', 'chairman')","('0.010', 'candidate')","('0.008', 'eat')","('0.009', 'open')","('0.006', 'mean')"
"('0.009', 'vice')","('0.009', 'republican')","('0.008', 'add')","('0.009', 'walk')","('0.005', 'point')"
"('0.009', 'director')","('0.009', 'support')","('0.007', 'pound')","('0.009', 'start')","('0.005', 'fact')"
"('0.009', 'network')","('0.009', 'democratic')","('0.007', 'chicken')","('0.009', 'home')","('0.005', 'different')"
Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
"('0.016', 'car')","('0.014', 'wear')","('0.044', 'school')","('0.014', 'military')","('0.025', 'percent')"
"('0.013', 'train')","('0.011', 'white')","('0.029', 'student')","('0.013', 'war')","('0.016', 'price')"
"('0.012', 'driver')","('0.009', 'man')","('0.015', 'class')","('0.013', 'government')","('0.015', 'market')"
"('0.011', 'official')","('0.009', 'black')","('0.014', 'college')","('0.013', 'states')","('0.012', 'stock')"
"('0.011', 'plane')","('0.008', 'eye')","('0.013', 'education')","('0.013', 'american')","('0.011', 'rate')"
"('0.010', 'flight')","('0.008', 'dress')","('0.013', 'child')","('0.012', 'force')","('0.010', 'rise')"
"('0.010', 'vehicle')","('0.008', 'stand')","('0.012', 'program')","('0.011', 'official')","('0.010', 'share')"
"('0.010', 'traffic')","('0.007', 'little')","('0.011', 'teacher')","('0.010', 'attack')","('0.009', 'company')"
"('0.009', 'fly')","('0.007', 'blue')","('0.010', 'parent')","('0.010', 'country')","('0.009', 'sell')"
"('0.009', 'truck')","('0.007', 'woman')","('0.009', 'community')","('0.009', 'kill')","('0.008', 'fall')"
Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
"('0.039', 'book')","('0.019', 'life')","('0.018', 'law')","('0.018', 'computer')","('0.021', 'music')"
"('0.026', 'write')","('0.013', 'child')","('0.016', 'rule')","('0.013', 'technology')","('0.018', 'play')"
"('0.014', 'writer')","('0.013', 'man')","('0.014', 'court')","('0.013', 'system')","('0.013', 'performance')"
"('0.013', 'publish')","('0.013', 'woman')","('0.012', 'case')","('0.010', 'company')","('0.011', 'audience')"
"('0.013', 'editor')","('0.013', 'family')","('0.011', 'legal')","('0.010', 'information')","('0.009', 'stage')"
"('0.012', 'author')","('0.012', 'young')","('0.011', 'lawyer')","('0.009', 'available')","('0.009', 'theater')"
"('0.011', 'page')","('0.012', 'tell')","('0.010', 'decision')","('0.008', 'cost')","('0.009', 'film')"
"('0.011', 'novel')","('0.011', 'friend')","('0.010', 'file')","('0.008', 'internet')","('0.009', 'production')"
"('0.010', 'read')","('0.011', 'thing')","('0.009', 'state')","('0.007', 'machine')","('0.009', 'dance')"
"('0.010', 'story')","('0.009', 'love')","('0.009', 'issue')","('0.007', 'number')","('0.009', 'perform')"
Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
"('0.026', 'building')","('0.018', 'game')","('0.013', 'health')","('0.015', 'news')","('0.022', 'charge')"
"('0.024', 'city')","('0.017', 'season')","('0.013', 'study')","('0.011', 'question')","('0.018', 'police')"
"('0.016', 'resident')","('0.014', 'team')","('0.013', 'drug')","('0.011', 'editor')","('0.016', 'case')"
"('0.016', 'house')","('0.013', 'baseball')","('0.011', 'report')","('0.011', 'ask')","('0.013', 'investigation')"
"('0.014', 'build')","('0.013', 'hit')","('0.011', 'percent')","('0.011', 'issue')","('0.012', 'lawyer')"
"('0.012', 'area')","('0.013', 'player')","('0.010', 'doctor')","('0.009', 'tell')","('0.011', 'trial')"
"('0.011', 'neighborhood')","('0.011', 'play')","('0.010', 'medical')","('0.008', 'meeting')","('0.010', 'crime')"
"('0.011', 'live')","('0.010', 'start')","('0.010', 'patient')","('0.008', 'statement')","('0.010', 'criminal')"
"('0.010', 'community')","('0.010', 'contract')","('0.009', 'research')","('0.008', 'article')","('0.010', 'officer')"
"('0.010', 'street')","('0.009', 'pitch')","('0.008', 'cause')","('0.008', 'official')","('0.010', 'official')"
Topic_21,Topic_22,Topic_23,Topic_24,Topic_25
"('0.025', 'art')","('0.018', 'water')","('0.019', 'play')","('0.014', 'money')","('0.052', 'mrs')"
"('0.015', 'artist')","('0.014', 'plant')","('0.019', 'game')","('0.014', 'state')","('0.047', 'father')"
"('0.012', 'museum')","('0.008', 'mile')","('0.017', 'team')","('0.013', 'budget')","('0.041', 'son')"
"('0.012', 'photograph')","('0.007', 'area')","('0.017', 'win')","('0.013', 'bill')","('0.034', 'graduate')"
"('0.010', 'exhibition')","('0.007', 'place')","('0.013', 'second')","('0.012', 'pay')","('0.033', 'retire')"
"('0.009', 'design')","('0.006', 'tree')","('0.012', 'player')","('0.012', 'program')","('0.031', 'daughter')"
"('0.009', 'collection')","('0.006', 'clean')","('0.011', 'point')","('0.012', 'plan')","('0.025', 'receive')"
"('0.009', 'image')","('0.006', 'land')","('0.010', 'season')","('0.011', 'propose')","('0.024', 'president')"
"('0.009', 'picture')","('0.006', 'farm')","('0.010', 'victory')","('0.011', 'tax')","('0.024', 'mother')"
"('0.009', 'painting')","('0.006', 'grow')","('0.010', 'coach')","('0.011', 'proposal')","('0.023', 'marry')"